x,y,z
690966.9962353011,5336183.678070353,-24
690966.7382597855,5336183.778546466,-24
690966.4858790108,5336183.87759865,-24
690966.2351464651,5336183.976440604,-24
690965.9845451677,5336184.075125831,-24
690965.7323330316,5336184.17385895,-24
690965.4737155526,5336184.2742867125,-24
690965.2279726942,5336184.368979704,-24
690964.9730949961,5336184.466546365,-24
690964.7197751894,5336184.562981488,-24
690964.556734551,5336184.624813865,-24
690964.5147147274,5336184.640723376,-24
690964.3865606987,5336184.689564144,-24
690964.1771296329,5336184.771133347,-24
690963.9502459285,5336184.86142621,-24
690963.7062556375,5336184.960238838,-24
690963.4455048117,5336185.067367344,-24
690963.1683395028,5336185.182607834,-24
690962.875105763,5336185.305756419,-24
690962.566149644,5336185.436609207,-24
690962.2418171978,5336185.574962305,-24
690961.9024544762,5336185.720611825,-24
690961.5484075313,5336185.873353872,-24
690961.1855091233,5336186.030602422,-24
690960.9792720426,5336186.120229967,-24
690960.7689465408,5336186.211804713,-24
690960.5545883668,5336186.305293814,-24
690960.3362532693,5336186.400664424,-24
690960.1139969977,5336186.497883691,-24
690959.8878753008,5336186.596918773,-24
690959.6579439275,5336186.697736821,-24
690959.4242586269,5336186.80030499,-24
690959.1868751477,5336186.904590431,-24
690958.9458492392,5336187.0105602965,-24
690958.7012366502,5336187.118181743,-24
690958.4530931298,5336187.227421921,-24
690958.2014744268,5336187.338247984,-24
690957.9464362903,5336187.450627087,-24
690957.688034469,5336187.564526379,-24
690957.4263247123,5336187.679913019,-24
690957.1613627691,5336187.796754154,-24
690956.893204388,5336187.915016942,-24
690956.6219053185,5336188.034668533,-24
690956.3475213092,5336188.155676082,-24
690956.070108109,5336188.27800674,-24
690955.7897214671,5336188.401627663,-24
690955.5064171324,5336188.526506003,-24
690955.220250854,5336188.6526089115,-24
690954.9509143254,5336188.7712553255,-24
690954.7220133372,5336188.872054378,-24
690954.4914381579,5336188.973554684,-24
690954.2592158513,5336189.075740298,-24
690954.025373482,5336189.178595274,-24
690953.7899381139,5336189.282103666,-24
690953.5529368109,5336189.386249528,-24
690953.3143966374,5336189.491016915,-24
690953.0743446572,5336189.596389879,-24
690952.8328079348,5336189.702352476,-24
690952.5898135343,5336189.808888759,-24
690952.3453885193,5336189.915982781,-24
690952.0995599546,5336190.0236185985,-24
690951.8523549038,5336190.131780264,-24
690951.6038004312,5336190.240451832,-24
690951.353923601,5336190.3496173555,-24
690951.102751477,5336190.45926089,-24
690950.8503111238,5336190.56936649,-24
690950.5966296052,5336190.679918206,-24
690950.3417339852,5336190.790900095,-24
