Coordinate,
5336736.496,686773.3487
5336710.616,686775.3749
5336700.159,686775.2526
5336688.748,686769.6602
5336676.981,686761.3579
5336666.055,686755.6462
5336653.902,686754.7163
5336639.421,686758.7075
5336622.935,686759.1186
5336603.218,686759.773
