x,y,z
691104.8765095769,5336146.37492905,-24
691104.8482741794,5336146.304561023,-24
691104.8209937721,5336146.234216114,-24
691104.7946170336,5336146.16389308,-24
691104.7690926414,5336146.093590681,-24
691104.7443692737,5336146.023307671,-24
691104.7203956087,5336145.953042811,-24
691104.6971203245,5336145.882794856,-24
691104.674492099,5336145.812562564,-24
691104.6524596105,5336145.742344695,-24
691104.6309715369,5336145.672140004,-24
691104.6099765563,5336145.601947251,-24
691104.5894233467,5336145.53176519,-24
691104.5692605863,5336145.461592582,-24
691104.5494369534,5336145.391428184,-24
691104.5299011255,5336145.321270752,-24
691104.5106017812,5336145.251119045,-24
691104.491487598,5336145.18097182,-24
691104.4725072547,5336145.110827835,-24
691104.4536094288,5336145.040685848,-24
691104.4347427989,5336144.970544617,-24
691104.4158560424,5336144.900402897,-24
691104.3968978379,5336144.830259448,-24
691104.3778168632,5336144.760113028,-24
691104.3585617965,5336144.689962392,-24
691104.3390813159,5336144.6198063,-24
691104.3193240995,5336144.549643509,-24
691104.2992388251,5336144.479472777,-24
691104.2787741711,5336144.40929286,-24
691104.2578788154,5336144.339102519,-24
691104.2365014361,5336144.268900507,-24
691104.2145907114,5336144.198685585,-24
691104.1920953192,5336144.12845651,-24
691104.1689639377,5336144.058212038,-24
691104.1451452447,5336143.987950929,-24
691104.1205879186,5336143.917671938,-24
691104.0952406373,5336143.847373827,-24
691104.0690520791,5336143.777055348,-24
691104.0419709218,5336143.7067152625,-24
691104.0139458436,5336143.636352327,-24
691103.9849255224,5336143.5659652995,-24
691103.9548586365,5336143.495552937,-24
691103.923693864,5336143.4251139965,-24
691103.8913798827,5336143.354647238,-24
691103.857865371,5336143.284151415,-24
691103.8230990067,5336143.21362529,-24
691103.787029468,5336143.143067619,-24
691103.749605433,5336143.072477156,-24
691103.7107755799,5336143.001852664,-24
691103.6704885864,5336142.931192897,-24
691103.6286931307,5336142.860496616,-24
691103.5853378911,5336142.789762573,-24
691103.5403715455,5336142.718989532,-24
691103.493742772,5336142.648176246,-24
691103.4454002487,5336142.577321474,-24
691103.3952926537,5336142.506423976,-24
691103.3433686648,5336142.435482507,-24
691103.2895769605,5336142.364495825,-24
691103.2338662187,5336142.293462687,-24
691103.1686493818,5336142.213227013,-24
691103.0635665656,5336142.088089387,-24
691102.9520322402,5336141.959417035,-24
691102.8342339549,5336141.827397805,-24
691102.7103592589,5336141.692219538,-24
691102.5805957017,5336141.554070079,-24
691102.4451308321,5336141.413137273,-24
691102.3041521996,5336141.269608965,-24
691102.1578473537,5336141.123672998,-24
691102.0064038432,5336140.975517216,-24
691101.8500092175,5336140.825329466,-24
691101.688851026,5336140.67329759,-24
691101.5231168177,5336140.519609434,-24
691101.352994142,5336140.364452841,-24
691101.1786705483,5336140.208015655,-24
691101.0003335853,5336140.050485723,-24
691100.8181708029,5336139.8920508865,-24
691100.6323697498,5336139.732898992,-24
691100.4431179758,5336139.573217882,-24
691100.2506030299,5336139.413195403,-24
691100.055012461,5336139.253019398,-24
691099.8565338188,5336139.092877711,-24
691099.6553546524,5336138.932958188,-24
691099.451662511,5336138.773448673,-24
691099.2456449439,5336138.614537008,-24
691099.0374895004,5336138.45641104,-24
691098.8273837296,5336138.299258614,-24
691098.615515181,5336138.143267571,-24
691098.4020714035,5336137.988625757,-24
691098.1872399466,5336137.835521019,-24
691097.9712083592,5336137.684141198,-24
691097.7541641912,5336137.53467414,-24
691097.5362949913,5336137.387307688,-24
691097.317788309,5336137.242229689,-24
691097.0988316933,5336137.099627985,-24
691096.8796126936,5336136.95969042,-24
691096.6603188593,5336136.822604842,-24
691096.4411377395,5336136.68855909,-24
691096.2222568833,5336136.557741012,-24
691096.0038638402,5336136.4303384535,-24
691095.7861461593,5336136.306539256,-24
691095.5692913899,5336136.186531264,-24
691095.3534870814,5336136.070502325,-24
691095.1389207826,5336135.958640279,-24
691094.9257800432,5336135.851132974,-24
691094.7142524122,5336135.748168252,-24
691094.5045254389,5336135.649933959,-24
691094.2967866728,5336135.556617939,-24
691094.0912236626,5336135.468408036,-24
691093.8880239581,5336135.385492095,-24
691093.6873751082,5336135.308057959,-24
691093.4894646622,5336135.236293473,-24
691093.2944801695,5336135.170386484,-24
691093.1026091792,5336135.110524832,-24
691092.9140392406,5336135.056896364,-24
691092.7289579031,5336135.009688926,-24
691092.5475527155,5336134.969090357,-24
691092.3700112277,5336134.935288507,-24
691092.1965209882,5336134.908471217,-24
691092.0432413056,5336134.890369573,-24
691091.9216525184,5336134.879805704,-24
691091.8015026146,5336134.872658208,-24
691091.6827326273,5336134.868844941,-24
691091.5652835892,5336134.8682837635,-24
691091.4490965336,5336134.870892536,-24
691091.3341124936,5336134.876589115,-24
691091.220272502,5336134.885291359,-24
691091.1075175921,5336134.896917131,-24
691090.9957887969,5336134.911384286,-24
691090.8850271491,5336134.928610686,-24
691090.775173682,5336134.948514188,-24
691090.6661694287,5336134.971012652,-24
691090.5579554222,5336134.996023937,-24
691090.4504726953,5336135.023465903,-24
691090.3436622812,5336135.053256407,-24
691090.237465213,5336135.085313311,-24
691090.1318225237,5336135.11955447,-24
691090.0266752461,5336135.155897748,-24
691089.9219644135,5336135.1942610005,-24
691089.8176310589,5336135.234562088,-24
691089.7136162152,5336135.276718869,-24
691089.6098609156,5336135.320649203,-24
691089.506306193,5336135.366270949,-24
691089.4028930804,5336135.413501967,-24
691089.2995626109,5336135.462260113,-24
691089.1962558175,5336135.51246325,-24
691089.0929137334,5336135.5640292335,-24
691088.9894773915,5336135.616875927,-24
691088.8858878248,5336135.670921186,-24
691088.7820860664,5336135.72608287,-24
691088.6780131492,5336135.782278839,-24
691088.5736101065,5336135.839426952,-24
691088.4688179711,5336135.897445068,-24
691088.3635777759,5336135.956251046,-24
691088.2578305544,5336136.015762743,-24
691088.151517339,5336136.075898022,-24
691088.0445791633,5336136.1365747405,-24
691087.9369570602,5336136.197710757,-24
691087.8285920625,5336136.259223931,-24
691087.7194252034,5336136.321032121,-24
691087.6093975159,5336136.383053187,-24
691087.4984500331,5336136.445204988,-24
691087.386523788,5336136.507405382,-24
691087.2735598135,5336136.56957223,-24
691087.1594991429,5336136.631623389,-24
691087.0442828089,5336136.693476719,-24
691086.9278518448,5336136.75505008,-24
691086.8101472835,5336136.81626133,-24
691086.6911101581,5336136.877028328,-24
691086.5706815015,5336136.937268933,-24
691086.448802347,5336136.9969010055,-24
691086.3254137273,5336137.055842403,-24
691086.2004566755,5336137.114010986,-24
691086.0738722248,5336137.171324612,-24
691085.9456014084,5336137.227701141,-24
691085.8155852588,5336137.283058431,-24
691085.6837648094,5336137.337314344,-24
691085.5500810932,5336137.390386736,-24
691085.3763767089,5336137.45705897,-24
691085.1651257807,5336137.537882812,-24
691084.9497665854,5336137.62029411,-24
691084.7304240722,5336137.704244529,-24
691084.5072231907,5336137.789685731,-24
691084.2802888902,5336137.876569383,-24
691084.0497461202,5336137.964847146,-24
691083.81571983,5336138.054470686,-24
691083.5783349688,5336138.145391667,-24
691083.3377164861,5336138.237561753,-24
691083.0939893313,5336138.330932608,-24
691082.8472784538,5336138.425455896,-24
691082.597708803,5336138.521083281,-24
691082.3454053282,5336138.617766426,-24
691082.0904929789,5336138.715456998,-24
691081.8330967044,5336138.814106658,-24
691081.5733414541,5336138.913667071,-24
691081.3113521775,5336139.014089902,-24
691081.0472538238,5336139.115326815,-24
691080.7811713424,5336139.217329472,-24
691080.5132296827,5336139.320049539,-24
691080.2435537942,5336139.42343868,-24
691079.9722686261,5336139.52744856,-24
691079.6994991279,5336139.63203084,-24
691079.425370249,5336139.737137186,-24
691079.1500069386,5336139.842719262,-24
691078.8735341463,5336139.948728733,-24
691078.5960768216,5336140.055117262,-24
691078.3177599135,5336140.161836512,-24
691078.0387083716,5336140.2688381495,-24
691077.7590471451,5336140.376073836,-24
691077.4789011837,5336140.483495236,-24
691077.1983954366,5336140.591054017,-24
691076.9176548531,5336140.698701839,-24
691076.6368043827,5336140.806390368,-24
691076.3559689749,5336140.9140712675,-24
691076.0752735786,5336141.021696202,-24
691075.7948431439,5336141.129216835,-24
691075.5148026197,5336141.23658483,-24
691075.2352769553,5336141.343751852,-24
691074.9563911004,5336141.450669567,-24
691074.6782700043,5336141.557289636,-24
691074.4010386162,5336141.663563724,-24
691074.1248218857,5336141.769443494,-24
691073.8497447621,5336141.874880612,-24
691073.5759321947,5336141.979826742,-24
691073.303509133,5336142.084233547,-24
691073.0326005265,5336142.1880526915,-24
691072.7633313242,5336142.291235839,-24
691072.4958264758,5336142.393734655,-24
691072.2302109305,5336142.495500801,-24
691071.9666096378,5336142.596485944,-24
691071.7051475471,5336142.696641748,-24
691071.4459496076,5336142.795919875,-24
691071.189140769,5336142.894271989,-24
691070.9348459804,5336142.991649756,-24
691070.6831901912,5336143.088004839,-24
691070.434298351,5336143.183288901,-24
691070.1882954091,5336143.277453609,-24
691069.9663065774,5336143.36241588,-24
691069.7533382905,5336143.443921807,-24
691069.5401902662,5336143.525493126,-24
691069.3268981192,5336143.607116213,-24
691069.1134974638,5336143.688777444,-24
691068.9000239145,5336143.770463196,-24
691068.686513086,5336143.852159849,-24
691068.4730005926,5336143.933853777,-24
691068.2595220491,5336144.015531359,-24
691068.04611307,5336144.097178972,-24
691067.8328092697,5336144.178782995,-24
691067.6196462625,5336144.260329802,-24
691067.4066596633,5336144.341805771,-24
691067.1938850867,5336144.42319728,-24
691066.9813581468,5336144.504490708,-24
691066.7691144585,5336144.585672429,-24
691066.557189636,5336144.666728822,-24
691066.3456192941,5336144.747646264,-24
691066.1344390473,5336144.828411131,-24
691065.92368451,5336144.909009802,-24
691065.7133912969,5336144.989428653,-24
691065.5035950223,5336145.069654064,-24
691065.2943313008,5336145.149672409,-24
691065.0856357471,5336145.229470066,-24
691064.8775439755,5336145.309033412,-24
691064.6700916006,5336145.388348826,-24
691064.4633142368,5336145.467402684,-24
691064.2572474991,5336145.546181362,-24
691064.0519270014,5336145.624671239,-24
691063.8473883588,5336145.702858693,-24
691063.6436671853,5336145.7807300985,-24
691063.4407990958,5336145.858271834,-24
691063.2388197046,5336145.935470279,-24
691063.0377646264,5336146.012311807,-24
691062.8376694757,5336146.088782797,-24
691062.6385698669,5336146.164869627,-24
691062.4405014145,5336146.240558674,-24
691062.2434997333,5336146.315836313,-24
691062.0476004375,5336146.390688924,-24
691061.852839142,5336146.465102882,-24
691061.6592514609,5336146.539064567,-24
691061.466873009,5336146.612560353,-24
691061.2757394008,5336146.68557662,-24
691061.0858862507,5336146.758099745,-24
691060.8973491734,5336146.8301161025,-24
691060.7101637832,5336146.901612073,-24
691060.5243656947,5336146.972574031,-24
691060.3399905228,5336147.042988356,-24
691060.1570738815,5336147.1128414245,-24
691059.9756513856,5336147.182119613,-24
691059.7957586494,5336147.250809298,-24
691059.6174312878,5336147.31889686,-24
691059.4407049151,5336147.386368674,-24
691059.2656151458,5336147.453211118,-24
691059.0921975946,5336147.519410568,-24
691058.9204878756,5336147.584953401,-24
691058.7505216037,5336147.649825997,-24
691058.5823343935,5336147.71401473,-24
691058.4159618593,5336147.77750598,-24
691058.2934916996,5336147.824240016,-24
691058.1772911358,5336147.868579241,-24
691058.0616777661,5336147.912692097,-24
691057.9466511735,5336147.956578748,-24
691057.8322109407,5336148.000239356,-24
691057.7183566506,5336148.043674088,-24
691057.6050878861,5336148.086883106,-24
691057.4924042302,5336148.129866575,-24
691057.3803052653,5336148.172624659,-24
691057.2687905747,5336148.215157519,-24
691057.1578597411,5336148.257465324,-24
691057.0475123473,5336148.299548235,-24
691056.9377479764,5336148.341406417,-24
691056.8285662109,5336148.383040033,-24
691056.7199666337,5336148.424449249,-24
691056.611948828,5336148.465634228,-24
691056.5045123762,5336148.506595133,-24
691056.3976568617,5336148.5473321285,-24
691056.2913818668,5336148.5878453795,-24
691056.1856869746,5336148.628135051,-24
691056.080571768,5336148.668201303,-24
691055.9760358297,5336148.708044304,-24
691055.872078743,5336148.747664215,-24
691055.76870009,5336148.787061202,-24
691055.665899454,5336148.8262354275,-24
691055.563676418,5336148.865187055,-24
691055.4620305647,5336148.903916252,-24
691055.3609614769,5336148.94242318,-24
691055.2604687375,5336148.980708003,-24
691055.1605519293,5336149.018770884,-24
691055.0612106351,5336149.05661199,-24
691054.9624444379,5336149.0942314835,-24
691054.8642529207,5336149.131629528,-24
691054.766635666,5336149.1688062865,-24
691054.6695922568,5336149.205761926,-24
691054.573122276,5336149.24249661,-24
691054.4772253063,5336149.279010501,-24
691054.381900931,5336149.315303762,-24
691054.2871487323,5336149.3513765605,-24
691054.1929682937,5336149.387229058,-24
691054.0993591974,5336149.42286142,-24
691054.0063210268,5336149.4582738085,-24
691053.9138533646,5336149.493466389,-24
691053.8219557937,5336149.528439327,-24
691053.7306278967,5336149.563192784,-24
691053.6398692566,5336149.597726923,-24
691053.5496794564,5336149.6320419125,-24
691053.4600580788,5336149.666137914,-24
691053.3710047066,5336149.70001509,-24
691053.2825189227,5336149.733673606,-24
691053.1946003101,5336149.767113628,-24
691053.1072484516,5336149.800335316,-24
691053.02046293,5336149.833338838,-24
691052.934243328,5336149.866124355,-24
691052.8485892288,5336149.898692034,-24
691052.7635002151,5336149.931042036,-24
691052.6789758696,5336149.963174525,-24
691052.5950157754,5336149.995089668,-24
691052.5130305416,5336150.026251308,-24
691052.4544550208,5336150.048504241,-24
691052.3969245886,5336150.070342574,-24
691052.3403985118,5336150.091782645,-24
691052.2848360576,5336150.112840792,-24
691052.2301964923,5336150.13353335,-24
691052.1764390833,5336150.1538766585,-24
691052.1235230974,5336150.173887055,-24
691052.0714078015,5336150.193580875,-24
691052.0200524627,5336150.212974459,-24
691051.9694163477,5336150.232084142,-24
691051.9194587234,5336150.250926262,-24
691051.8701388569,5336150.269517158,-24
691051.8214160152,5336150.287873165,-24
691051.7732494649,5336150.3060106225,-24
691051.7255984731,5336150.323945866,-24
691051.6784223069,5336150.341695234,-24
691051.6316802329,5336150.359275066,-24
691051.5853315184,5336150.376701696,-24
691051.53933543,5336150.393991464,-24
691051.4936512347,5336150.411160706,-24
691051.4482381995,5336150.4282257585,-24
691051.4030555914,5336150.4452029625,-24
691051.3580626771,5336150.462108652,-24
691051.3132187236,5336150.478959166,-24
691051.268482998,5336150.495770844,-24
691051.223814767,5336150.512560018,-24
691051.1791732977,5336150.529343031,-24
