x,y,z
691016.6110531775,5335913.808009422,-24
691016.7325823082,5335914.118032897,-24
691016.8568100415,5335914.435125176,-24
691016.9836960225,5335914.7591804415,-24
691017.1131998971,5335915.0900928825,-24
691017.2452813104,5335915.427756686,-24
691017.3798999083,5335915.772066037,-24
691017.5170153362,5335916.122915123,-24
691017.6565872397,5335916.480198128,-24
691017.7985752639,5335916.843809243,-24
691017.9429390547,5335917.21364265,-24
691018.0896382575,5335917.589592538,-24
691018.2386325178,5335917.971553093,-24
691018.3898814808,5335918.359418499,-24
691018.5433447927,5335918.753082947,-24
691018.6989820984,5335919.15244062,-24
691018.8567530435,5335919.557385705,-24
691019.0166172738,5335919.96781239,-24
691019.1785344345,5335920.3836148605,-24
691019.3424641714,5335920.804687301,-24
691019.5083661296,5335921.2309239,-24
691019.6761999548,5335921.6622188445,-24
691019.8384569803,5335922.079268537,-24
691019.9670429676,5335922.409830443,-24
691020.096656334,5335922.743082179,-24
691020.2272800015,5335923.078978965,-24
691020.3588968918,5335923.417476019,-24
691020.4914899269,5335923.758528561,-24
691020.6250420284,5335924.102091812,-24
691020.7595361184,5335924.448120987,-24
691020.8949551184,5335924.796571312,-24
691021.0312819505,5335925.147398,-24
691021.1684995365,5335925.5005562715,-24
691021.306590798,5335925.856001348,-24
691021.445538657,5335926.213688449,-24
691021.5853260354,5335926.573572791,-24
691021.7259358548,5335926.935609597,-24
691021.8673510375,5335927.299754081,-24
691022.0095545045,5335927.665961469,-24
691022.1525291784,5335928.034186975,-24
691022.2962579806,5335928.40438582,-24
691022.440723833,5335928.776513224,-24
691022.5859096578,5335929.150524405,-24
691022.7317983762,5335929.526374584,-24
691022.8783729104,5335929.904018978,-24
691023.0256161822,5335930.283412809,-24
691023.1735111135,5335930.664511293,-24
691023.3220406258,5335931.0472696535,-24
691023.4711876413,5335931.431643107,-24
691023.6209350816,5335931.817586871,-24
691023.7712658686,5335932.205056169,-24
691023.9221629242,5335932.594006218,-24
691024.0736091699,5335932.98439224,-24
691024.2255875281,5335933.376169449,-24
691024.3780809201,5335933.769293068,-24
691024.5310722679,5335934.163718317,-24
691024.6715149244,5335934.525806935,-24
691024.8096980901,5335934.882083472,-24
691024.9482440872,5335935.239308113,-24
691025.0871405476,5335935.597448428,-24
691025.2263751028,5335935.956471989,-24
691025.3659353849,5335936.31634636,-24
691025.5058090251,5335936.677039113,-24
691025.6459836556,5335937.038517817,-24
691025.7864469078,5335937.400750042,-24
691025.9271864136,5335937.763703355,-24
691026.0681898046,5335938.127345326,-24
691026.2094447124,5335938.491643524,-24
691026.350938769,5335938.856565519,-24
691026.4926596062,5335939.222078879,-24
691026.6345948552,5335939.588151174,-24
691026.776732148,5335939.954749973,-24
691026.9190591165,5335940.321842843,-24
691027.0615633923,5335940.6893973565,-24
691027.2042326069,5335941.0573810795,-24
691027.3470543921,5335941.425761584,-24
691027.49001638,5335941.794506436,-24
691027.6331062019,5335942.163583208,-24
691027.7763114895,5335942.532959466,-24
691027.9196198747,5335942.902602782,-24
691028.0630189892,5335943.2724807225,-24
691028.2064964647,5335943.642560858,-24
691028.3500399329,5335944.012810758,-24
691028.4936370252,5335944.38319799,-24
691028.637275374,5335944.753690124,-24
691028.7809426105,5335945.124254729,-24
691028.9246263666,5335945.494859376,-24
691029.0683142738,5335945.86547163,-24
691029.2119939642,5335946.236059065,-24
691029.3556530692,5335946.606589247,-24
691029.4992792207,5335946.977029744,-24
691029.6428600503,5335947.3473481275,-24
691029.7863831897,5335947.717511966,-24
691029.9318723376,5335948.092739959,-24
691030.0781451475,5335948.469981989,-24
691030.2243188391,5335948.846960711,-24
691030.3703802774,5335949.223641684,-24
691030.5163163269,5335949.599990465,-24
691030.6621138526,5335949.975972612,-24
691030.8077597187,5335950.351553684,-24
691030.9532407904,5335950.726699239,-24
691031.0985439321,5335951.101374833,-24
691031.2436560087,5335951.475546025,-24
691031.388563885,5335951.849178374,-24
691031.5332544255,5335952.222237436,-24
691031.6777144951,5335952.59468877,-24
691031.8219309584,5335952.966497935,-24
691031.9658906802,5335953.337630489,-24
691032.1095805253,5335953.708051988,-24
691032.2529873584,5335954.07772799,-24
691032.3960980439,5335954.4466240555,-24
691032.5388994468,5335954.814705741,-24
691032.6813784319,5335955.1819386035,-24
691032.8235218638,5335955.548288202,-24
691032.965316607,5335955.913720095,-24
691033.1067495266,5335956.278199839,-24
691033.2478074873,5335956.641692993,-24
691033.3884773535,5335957.004165116,-24
691033.5287459904,5335957.365581764,-24
691033.6686002621,5335957.7259084955,-24
691033.8080270339,5335958.085110868,-24
691033.9470131701,5335958.443154441,-24
691034.0855455358,5335958.800004771,-24
691034.2236109955,5335959.155627418,-24
691034.3611964138,5335959.509987938,-24
691034.4982886555,5335959.863051889,-24
691034.6348745857,5335960.214784831,-24
691034.7709410685,5335960.56515232,-24
691034.906474969,5335960.914119913,-24
691035.049274419,5335961.281762722,-24
691035.2089528942,5335961.69282112,-24
691035.3678187205,5335962.101743854,-24
691035.5258498412,5335962.508473089,-24
691035.6830242003,5335962.912950991,-24
691035.8393197409,5335963.315119726,-24
691035.9947144069,5335963.714921459,-24
691036.1491861419,5335964.112298355,-24
691036.3027128894,5335964.507192583,-24
691036.455272593,5335964.899546307,-24
691036.6068431961,5335965.2893016925,-24
691036.7574026427,5335965.676400906,-24
691036.9069288762,5335966.060786114,-24
691037.0553998401,5335966.442399481,-24
691037.2027934782,5335966.821183173,-24
691037.3490877338,5335967.197079358,-24
691037.4942605507,5335967.570030199,-24
691037.6350582404,5335967.931678842,-24
691037.763898049,5335968.262582354,-24
691037.8928901154,5335968.593860139,-24
691038.022029175,5335968.925498849,-24
691038.1513099637,5335969.257485136,-24
691038.2807272167,5335969.589805651,-24
691038.4102756701,5335969.922447049,-24
691038.5399500593,5335970.255395981,-24
691038.6697451198,5335970.588639099,-24
691038.7996555874,5335970.922163056,-24
691038.9296761975,5335971.255954504,-24
691039.0598016859,5335971.590000095,-24
691039.190026788,5335971.924286481,-24
691039.3203462397,5335972.258800317,-24
691039.458817712,5335972.614223431,-24
691039.6010322374,5335972.979237205,-24
691039.7433391064,5335973.344471135,-24
691039.8857315063,5335973.709907944,-24
691040.0282026238,5335974.075530361,-24
691040.1707456461,5335974.441321111,-24
691040.31335376,5335974.807262919,-24
691040.4560201529,5335975.173338511,-24
691040.5987380112,5335975.539530614,-24
691040.7415005221,5335975.905821954,-24
691040.8843008728,5335976.272195256,-24
691041.0271322501,5335976.638633246,-24
691041.1699878412,5335977.00511865,-24
691041.3128608327,5335977.371634195,-24
691041.4557444119,5335977.738162604,-24
691041.5986317656,5335978.104686605,-24
691041.741516081,5335978.471188924,-24
691041.8843905448,5335978.837652287,-24
691042.0272483444,5335979.20405942,-24
691042.1700826663,5335979.570393048,-24
691042.3128866978,5335979.936635897,-24
691042.4556536259,5335980.302770693,-24
691042.5983766372,5335980.668780163,-24
691042.7410489192,5335981.034647032,-24
691042.8836636586,5335981.400354024,-24
