x,y,z
690773.566509577,5335862.02492905,-24
690773.8130348363,5335862.63574505,-24
690774.0617922152,5335863.251965857,-24
690774.3127091152,5335863.8734156815,-24
690774.5657129373,5335864.4999187365,-24
690774.820731083,5335865.131299232,-24
690775.0776909542,5335865.767381379,-24
690775.3365199516,5335866.40798939,-24
690775.5971454768,5335867.052947474,-24
690775.8594949314,5335867.702079845,-24
690776.1234957165,5335868.355210712,-24
690776.3890752335,5335869.012164288,-24
690776.6561608838,5335869.672764783,-24
690776.9246800691,5335870.336836407,-24
690777.1945601903,5335871.0042033745,-24
690777.4657286489,5335871.6746898955,-24
690777.7381128466,5335872.348120181,-24
690778.0116401842,5335873.02431844,-24
690778.2862380636,5335873.703108886,-24
690778.561833886,5335874.384315732,-24
690778.8383550528,5335875.067763186,-24
690779.1157289651,5335875.753275461,-24
690779.3938830248,5335876.440676766,-24
690779.6727446328,5335877.129791316,-24
690779.9522411907,5335877.820443319,-24
690780.2323000998,5335878.512456988,-24
690780.5128487615,5335879.205656533,-24
690780.7938145773,5335879.899866165,-24
690781.0751249485,5335880.594910097,-24
690781.3567072764,5335881.290612539,-24
690781.6384889624,5335881.986797704,-24
690781.920397408,5335882.6832898,-24
690782.2023600142,5335883.37991304,-24
690782.4843041829,5335884.076491636,-24
690782.7661573152,5335884.772849799,-24
690783.0478468125,5335885.468811739,-24
690783.3293000762,5335886.164201669,-24
690783.6104445077,5335886.858843797,-24
690783.8912075082,5335887.552562338,-24
690784.1715164791,5335888.245181501,-24
690784.4512988222,5335888.9365254985,-24
690784.7304819383,5335889.626418541,-24
690785.0089932294,5335890.314684838,-24
690785.2867600962,5335891.001148605,-24
690785.5637099405,5335891.6856340505,-24
690785.8397701636,5335892.367965385,-24
690786.1148681667,5335893.047966821,-24
690786.3889313515,5335893.72546257,-24
690786.6618871192,5335894.400276842,-24
690786.9336628711,5335895.072233849,-24
690787.2041860088,5335895.741157803,-24
690787.4733839333,5335896.406872912,-24
690787.7411840465,5335897.069203393,-24
690788.0075137491,5335897.727973452,-24
690788.2723004431,5335898.383007303,-24
690788.5354715297,5335899.034129157,-24
690788.7969544102,5335899.681163222,-24
690789.0566764859,5335900.323933714,-24
690789.3145651584,5335900.9622648405,-24
690789.5705478289,5335901.595980816,-24
